cluster,cluster_size,gene,p_val,p_adj,mean_in,mean_out,log2FC,pct_in,pct_out
0,29921,IL7R,0.0,0.0,2.06428569560263,0.241346363987166,3.09646037661686,0.361618929848601,0.0469901491278132
0,29921,CCL19,0.0,0.0,0.520981134822839,0.0642588098181799,3.01924528523928,0.0998629724942348,0.0135232376367832
0,29921,CD2,0.0,0.0,0.490243758529286,0.0639333326551347,2.93883943609975,0.0955181979211925,0.0130145653953996
0,29921,CCR7,0.0,0.0,0.407274586484815,0.0589942717868097,2.78733409825645,0.0790080545436316,0.0137217438773231
0,29921,ITK,0.0,0.0,0.389937127219384,0.0581551784706016,2.74524084907249,0.0764346111426757,0.0125865363142354
0,29921,TRBC2,0.0,0.0,1.52930141087343,0.259708412200688,2.55790351447994,0.282376925904883,0.0533423488250912
0,29921,GZMK,0.0,0.0,0.390981638584141,0.0685366350738781,2.51213622980336,0.0754653921994586,0.0144351256792635
0,29921,CD3E,0.0,0.0,1.09412513120756,0.192845664430542,2.50425296431782,0.208616022191772,0.0405821195503834
0,29921,FCN1,0.0,0.0,0.211994479355226,0.0383083802299379,2.46826390961695,0.0417098359012065,0.008448921862981
0,29921,CD40LG,0.0,0.0,0.204425677111799,0.0369520014247741,2.46782002232755,0.040239296814946,0.0078968263814793
0,29921,TRAC,0.0,0.0,1.45173955137392,0.268023982693257,2.43734425819411,0.271615253500886,0.0566425150740676
0,29921,CTLA4,0.0,0.0,0.612983730330887,0.127324156790927,2.26733364251151,0.115871795728752,0.0283987990372447
0,29921,SELL,0.0,0.0,0.519506996413658,0.109827658792355,2.24189139401565,0.102904314695364,0.0248442966675765
0,29921,FOXP3,0.0,0.0,0.254328101129361,0.0549920546903802,2.20937521805428,0.0494970087898132,0.0121771171931218
0,29921,CD163,0.0,0.0,1.67029487663984,0.384803477761521,2.11790619252643,0.311921393001571,0.0807486166596362
0,29921,GIMAP7,0.0,0.0,0.542291511233042,0.126672847201867,2.0979525480084,0.108652785668928,0.0277846703555743
0,29921,TIGIT,0.0,0.0,0.370294484610561,0.087696560181056,2.07806834600195,0.0723906286554594,0.0195590680132007
0,29921,CD4,0.0,0.0,1.37590049469416,0.334326782289212,2.04104203496285,0.273386584672972,0.0733852757996079
0,29921,CXCR4,0.0,0.0,2.99338435972921,0.791846156283728,1.91848412837578,0.532468834597774,0.159034515272574
0,29921,CCL5,0.0,0.0,1.08132075297674,0.287608912892059,1.91061056213241,0.204104140904382,0.0599240713629935
1,16679,ITGB6,0.0,0.0,0.453277008475871,0.0619218359324495,2.87185271777966,0.117093350920319,0.015225341939626
1,16679,KRT17,0.0,0.0,1.08969116368177,0.193012276612377,2.49714864023551,0.248516098087415,0.0426664985152999
1,16679,LCN2,0.0,0.0,1.8115906524561,0.336581957141656,2.42822376394169,0.394448108399784,0.0773018584547654
1,16679,MLPH,0.0,0.0,0.74111320387939,0.186184263991452,1.99295698302206,0.185202949817135,0.045762012313266
1,16679,CTTNBP2,0.0,0.0,1.00301631210705,0.271784204866539,1.88380767955616,0.246537562203969,0.067344622404641
1,16679,CTNND2,0.0,0.0,0.95193348007241,0.284520743316164,1.74232337052728,0.237484261646382,0.0709503227359756
1,16679,CXCL1,0.0,0.0,3.79596721769358,1.15913379327316,1.7114195692519,0.721685952395227,0.245915641516572
1,16679,TACSTD2,0.0,0.0,2.95371712615675,0.913507002400131,1.69304288388868,0.613645902032496,0.19413457459615
1,16679,DEFB1,0.0,0.0,0.812816896944053,0.267848332888127,1.60151046543478,0.203609329096469,0.0662898547401488
1,16679,AGR2,0.0,0.0,1.03449238418025,0.344778192273187,1.58517980461042,0.248276275556088,0.0747165311901677
1,16679,TSPAN13,0.0,0.0,1.4617517202033,0.505934429212026,1.53067410045247,0.347802626056718,0.11929192988088
1,16679,KIF26B,0.0,0.0,0.401081599193737,0.140023592740303,1.51821914453786,0.102044487079561,0.0331219976382376
1,16679,ANXA13,0.0,0.0,2.29231511593808,0.801059566637995,1.516822777702,0.500269800347743,0.186097703587357
1,16679,RARRES1,0.0,0.0,0.922388816796102,0.333396003384018,1.46813544844216,0.209904670543798,0.0715235660318953
1,16679,TMC5,0.0,0.0,1.31936257348243,0.47698143092975,1.46783414658371,0.312308891420349,0.111621934581475
1,16679,FGG,0.0,0.0,4.53703790098666,1.66857774490713,1.44313125659203,0.804304814437316,0.306461598431606
1,16679,UGT1A1,0.0,0.0,1.1716445308987,0.436415246024106,1.4247594499602,0.27927333773008,0.103269779759926
1,16679,RERG,0.0,0.0,0.742701530513721,0.278303344655395,1.41612106282834,0.187960908927394,0.0664962223266799
1,16679,CXCL3,0.0,0.0,1.02243686041119,0.388658050601843,1.3954361473253,0.252772948018466,0.0915641516572464
1,16679,SNAP25,0.0,0.0,0.743317007010729,0.286503131059446,1.37542361685092,0.186342106840938,0.0710019146326084
2,12309,ADH4,0.0,0.0,2.25900331424053,0.0350079756182116,6.0118183674261,0.450402144772118,0.0081760021474588
2,12309,SULT2A1,0.0,0.0,1.57774212563955,0.0286006461708948,5.78562034336953,0.343407262978309,0.0070575340014316
2,12309,ARG1,0.0,0.0,1.49676904092225,0.0291155626705355,5.68386872750148,0.333577057437647,0.0068226556907659
2,12309,SERPINC1,0.0,0.0,3.13539510252067,0.0637343506353428,5.62041012235466,0.581444471524901,0.0155802612741589
2,12309,HAMP,0.0,0.0,2.77280469474944,0.0619914924636558,5.48310920238017,0.519863514501584,0.0140703292770222
2,12309,AHSG,0.0,0.0,4.48708398623571,0.1210110550033,5.21255583073212,0.726460313591681,0.0292255726556908
